,標題,url,星數,日期,評論標題,評論內文
18,Python 入門特訓 - 基礎實作到證照攻略,https://hahow.in/courses/5bdaafa726b5640020754649,5 Stars,2020.10.25,想要投入DATA&AI的適合上課充實,"這是我在hahow第二次上課，購課前有過去很冗長的時間受到長期的猶豫，過去幾年在網站上刊登了很多的AI&BigData相關課程廣告，很難決定說要如何選擇哪一種教學網？我就在hahow網站預購""Python 資料分析 - 網頁爬蟲與視覺呈現""課程聽看看，上完課程後就有把交代的事情給他完成，不僅結果反而有結業證書可以拿。這門課程適合初學者投入，裡面的教學內容及影片很扎實,讓我上了這門課時就蠻輕而易舉的,把每個章節的課程看完了,就逐漸進行下一個部分就是做作業:開時進行作業時我就會覺得注意力無法集中,猶豫不覺得混亂,點選了所有了作業內容時,題目看起來艱澀難懂,我用把這五個作業題目每一題上網找、翻閱:基峰Python3.X程式語言特訓教材第二版尋找相關翻例，進行ＬＡＢ作業時沒有想像中的困難反而能幫助自己舉一反三、有天賦，最後花了１個鐘頭的時間完成了所有的作業，再來就是對此課程進行""課程評價""。上課也只是一部分而已，結訓後必須要用多餘的時間反覆練習，讓自己能夠熟能生巧直到有考取TQC+python3.X證照為止，並且能夠順利考取證照學理致用。"
19,Python 入門特訓 - 基礎實作到證照攻略,https://hahow.in/courses/5bdaafa726b5640020754649,5 Stars,2020.05.18,教學品質優良,這門課程的教學方式，我很喜歡。老師的教法，循序漸進，以充滿寬容與理解的速度進行，練習題講解的很有邏輯、很仔細。在寫練習作業的時候，前面三題想很久，一直抓不到技巧，許多初學者的錯誤應該都犯了。可是越到後面，最後兩題卻很快就抓到解題技巧，幾分鐘就想出來了。可能是練習多了之後，產生了程式語感？最後，老師特地細心說明CodeJudger與TQC+認證考試，於是我就報名了老師推薦的程式語言(Python 3)測驗，希望可以有好成績，通過認證。
20,Python 入門特訓 - 基礎實作到證照攻略,https://hahow.in/courses/5bdaafa726b5640020754649,5 Stars,2020.11.22,Python入門課程,"即使是完全沒有任何程式基礎的人也可以上的課，課程內容都是很基本的功能，但只要有照著課程上+實際操作，不懂的地方可以多看幾次(這也是影音的好處，我自己很多地方也是看了好多次才理解)。

整體的流程很順暢，非常推薦「程式新手」或者是「曾經有寫過程式，但很久沒寫程式」的人來上，老師非常細心，不懂的地方透過發問區發問，老師都會用最簡單、清楚的方式來讓你理解，非常棒!也非常推薦想了解python的人來上這堂課。"
21,用 Python 理財：打造自己的 AI 股票理專,https://hahow.in/courses/5b9d3a6dca498a001e917383,5 Stars,2019.07.23,雖然課程內容很豐富，但是我都看不懂...,"努力看到100%了，可是我全部都不知道老師在幹嘛.......
那些程式都不是我能看懂的東西...
不懂股票好像沒辦法知道老師在幹嘛
我的頭快爆了...無法理解的課程
好像不適合很笨的平民老百姓學習...

怎麼有這麼多人都會寫程式...
我覺得老師很用心準備課程...
而且也很認真地幫每個學生解答問題
可惜遇到我這個完全看不懂的笨蛋...
我連執行程式都會有一堆紅字...多到截圖都截不完...
後來老師神救援 紅字就少很多了

可惜我的電腦配備不太好，記憶體常常不夠就跳出去了...

我目前對課程的理解程度只有兩個星星...，我只會用第一章的更新資料庫，後來的課程都不知道在做什麼了...不過老師的課還是很豐富精彩的喔...

老師人很好 都會拯救大家 課程專業度有五顆星星...難度五顆星星...回答問題五顆星星...

只有我的理解力是兩個星星...
"
22,用 Python 理財：打造自己的 AI 股票理專,https://hahow.in/courses/5b9d3a6dca498a001e917383,5 Stars,2019.07.14,非常棒的課程！,"老師教學深入淺出，也提供了好用的API、自動化更新爬蟲，真的覺得物超所值！因為做資料科學的第一步就是要先有資料，而這門課所教的資料庫非常便利解決了這項問題。
自己上課的目的主要是想研究一些財務相關的AI課程，這門課是我目前覺得C/P值最高的學習教材，帶到了許多常用觀念。
另外自己的領域是資料科學，算是對Python與Pandas蠻有經驗，老師的課也讓我複習與重溫了一些寫法與觀念，code是很值得學習的對象。
另外機器學習或者coding的技術本來就不是個速成的領域，不會有任何一門課上完就能成神，需要一邊上課一邊練習coding。
總的來說，如果是完全不會code的新手可能要自己花點時間練習Python（不過我覺得這完全不是問題，學寫code本來就是要踩這些坑），但如果是蠻熟悉Python的人會覺得這門課真的超讚！"
23,用 Python 理財：打造自己的 AI 股票理專,https://hahow.in/courses/5b9d3a6dca498a001e917383,5 Stars,2019.06.27,無懈可擊的課程與師資,"自從上了第一堂小資選股策略之後，得知老師又要開另一門很屌的AI課程，立馬刷卡付費下去，能夠在Hahow上到韓老師的課程，真的是很幸運，雖然大家上股市相關的課程就是想要賺錢，其實這門課還可以運用在其他工作的領域上，對我來說真的是雙贏的內容阿。
真心希望，韓老師多開一些課程，造福台灣的人民(股民)，期待有解鎖課程?  哈哈。

摘要此門課的優點

(1) 課程講解口條清晰。
(2) 內容非常豐富，CP值滿到爆表。
(3) 課後問題處理的速度迅速，幾乎有求必應。"
24,用 Python 理財：打造加密貨幣實戰策略,https://hahow.in/courses/5b875e55297df5001efb869d,5 Stars,1 天前,不斷進化的課程,"我看完課程影片有些心得，覺得最有價值的是finlab_crypto(課程用的套件)。
韓老師功力的精華都寫在這個package，若你也懂點程式，你就知道我在說啥？許多複雜的方法都幫你封裝好了，新手熟悉完pandas與decorator用法後，就能輕鬆上手操作。
若你上完小資族課程後覺得AI課程太難，那這堂課更適合做為你的進階課程，不論是程式技巧、量化投資觀念都能比機器學習稍多的數理觀念，更容易讓人吸收。
若你認為加密貨幣的性質或波動性過大不適合你的理念，你也可以舉一反三，將package裡的strategy和indicator功能移植到其他商品的投資策略，只有online的部分是比較針對加密貨幣線上交易的操作，比較無法小改應用，但若有能力，仍可自己擷取部分應用來改寫。
-----------------------
package特色：
https://github.com/.../finlab.../tree/master/finlab_crypto
整合強大的回測package:vectordb
Strategy和Filter物件輕鬆封裝策略到vectordb
pyechart策略訊號互動式介面
seaborn的optimizer、backtest、estimate_overfitting GUI調整介面。
estimate_overfitting 的Combinatorially symmetric cross-validation algorithm工具
串接bitance api 交易平台，自動化交易與投資組合建立完整
提供加密貨幣操作的相關爬蟲，除了價格，還有其他資料。
Google Cloud Platform 雲端平台教學。
有寫測試，程式穩定性較高。
---------------
另外這堂課的操作平台在colab，由於大家環境都一樣，使用套件都是finlab_crypto，所以不再有煩人的安裝環境設定問題，程式更新也及時方便，也不用擔心電腦效能太差，可藉助colab免費的強大算力來學習、研究量化投資。
這堂課無論是教材投影片、口條流暢度、程式完整性、量化投資深度都更精緻了。非常值得來投資自己，hahow的課程就是要一般學校很少教的，才更有投資的價值。
"
25,用 Python 理財：打造加密貨幣實戰策略,https://hahow.in/courses/5b875e55297df5001efb869d,5 Stars,8 小時前,絕對超值的課程，投資承佑就像投資台積電一樣,"Python 加密貨幣實戰 課後心得  
主要分幾個面向解說心得  
成長面     
    如果是跟我一樣，從第一堂課就跟著上來的同學，一定會感覺到自己無形中跟著 FinLab一起成長學到新東西，也可以想像成，只要承佑學到新東西，我們就會學到(CP 值好高阿，跟著優秀人才一起前進)  
課程內容  
    雖然這章節的主角是虛擬貨幣，但本質上可以將 Code Package 改寫成股票、期貨的投資武器。因為這堂課的資識涵蓋範圍很完整，包含部位管理、多策略概念、資金比例。其實仿間很多課程也大概是講這些東西(而且很貴)。重點是還 open source (一定是耶穌降臨)      
價值面
    對我來說，finlab_crypto 真是太強大的 lib，結合強大的 vectorbt 、pyportfolioopt...等等一些強大的結合。(這到底是幾個人寫的...Orz， 一樣搞一年，進度差很多..哈)。   
其實太多好處無法言語表達，心領神會更感動。  
 # 為什麼看課程會流淚"
26,用 Python 理財：打造加密貨幣實戰策略,https://hahow.in/courses/5b875e55297df5001efb869d,5 Stars,1 天前,值回票價的一堂課程,"快速地完成了所有課程內容，但仍然持續複習中，
我的學習策略是先想知道最終結果要產出的方向後，再一個一個去查找不懂或忘記的地方，學習起來較有效率且有目的性。

撰寫程式雖然不是我的專業，但透過老師的講解可以理解每個撰寫過程中的邏輯，再加上自己的拼拼湊湊
可以慢慢地越來越了解整體架構與自己需要的是甚麼！

如果對量化交易有興趣真的非常推薦大家來學習喔，另外摘要我自己的學習大綱給大家參考
●策略方向
1.技術指標：例如MACD、MA、RSI等...
2.基本面：Bitcoin hash rate、Puell Multiple 
3.籌碼面：Spent Output Profit Ratio
●加入濾網優化
market meanness index、停損停利等....
●資產配置 Hierarchical Risk Parity
●雲端自動化交易 Google Cloud Function
幾個方向學習完，找到喜歡且有信心的策略後，就是實際上線實戰囉"
27,用 Python 理財：打造小資族選股策略,https://hahow.in/courses/5a2170d5a6d4a5001ec3148d,5 Stars,2018.06.08,值得推薦,"Pros：
1.老師不只是有問必答，幾乎是有求必應。
2.教學資源非常豐富，工具包使得課程的使用者體驗非常好。
3.課程後段的安排基本上就是建構資料庫、製作策略跟回測的流程，幾乎可以無痛創造自己的策略。

Cons：
1.由於仰賴工具包，使得沒有程式基礎的人遇到問題很難自己維護。
2.因為是應用導向，因此並不推薦給不會python但想藉由這堂課學python的人。

如果你是一個完全沒有程式基礎且並不打算藉由這堂課學習的人你會得到
1.一套一鍵更新的資料庫
2.可以自己修改參數的策略，以及回測績效的程式。
推薦指數：★★★

如果你願意學習那麼除了上述的2點你會再獲得
1.pandas的實務操作。
2.從無到有建構自己的策略並回測的方法。
3.網頁爬蟲與建構資料庫的方法。
4.為數眾多的工具包。
推薦指數：★★★★

如果你是稍有程式基礎以上的人那麼除了上述的6點你還會獲得。
1.自己的資料庫。
2.資料庫的優化跟管理。
3.如何維護老師的工具包。
4.如何透過GUI炫技?
推薦指數：★★★★★

綜合感想：
因為要讓推薦指數做出鑑別度，所以才有３～５星的區別，但實際上３顆星本身以價格來說已經非常非常超值了。
其中我認為對於剛接觸python的人最有價值的部分在於資料爬蟲與資料庫的管理，基本上是可以應用在各種領域。
這僅是單就目前課程的評論，這堂課仍在更新而且幾乎每周都有新東西，如果你對於將策略量化並執行很有興趣，但不知如何著手，或者你不知道怎麼優化自己的code，那麼這堂課絕對不容錯過。"
28,用 Python 理財：打造小資族選股策略,https://hahow.in/courses/5a2170d5a6d4a5001ec3148d,5 Stars,2018.05.29,評估一堂課的價值,"當大家看了一些投資理財的書想要來驗證那些方法有沒有用，上網搜尋相關指標篩選網站不外乎是財報狗，股狗網及goodinfo等網站，他們提供了很好的篩選工具，但還是覺得少了點什麼，我希望的是某個策略不僅僅能挑出現在符合條件的股票，也希望能夠利用策略挑出過去符合條件的股票看他的報酬率，為了這個目的開始研究該如何建構一個屬於自己的選股和回測系統。 但因為我不是本科系的人，雖說自己的程式已經可以爬取股價跟財報，但是每次要更新的時候就很麻煩，沒辦法做到像課程內教的一鍵更新，我開始上網搜尋相關教學，直到某次無意間發現了Finlab這個部落格，我才正式變成忠實的讀者。老師也是個樂於分享的人，還記得有一次老師ＰＯ了篇有關回測概念的文章，我自己實在想不出該怎麼實現它，厚臉皮的留言請老師提供程式碼（對很多財經部落格的人來說那是商業機密），想不到他真的發一篇教學文教我們如何寫程式，後來看到老師要開課二話不說立馬報名，開課後，之前自己寫程式遇到的問題大部分都解決了，少部分沒解決的問題發問後也得到答覆。
回到標題，如何評估一堂課的價值呢？我個人認為是這堂課給你的東西你覺得值不值得那個錢，對我而言，拿到一個可以一鍵更新且已建立好的資料庫加上一支回測程式，已經遠遠超越了課程費用，更遑論還有其他策略分享跟解鎖課程。 所以我大力推薦有自己嘗試建立自己投資工具的人可以來上這堂課，不會的地方也可以在課程論壇提問，會有老師及熱心的同學幫忙解答。"
29,用 Python 理財：打造小資族選股策略,https://hahow.in/courses/5a2170d5a6d4a5001ec3148d,5 Stars,2019.08.18,極度適合有程式和金融基礎的人來學習,"        在這堂課程中，我學習到許多Python的撰寫技巧，並且對於Python有全新的理解，或許是因為之前學過C++、R和Python，因此我認為前三分之一的課程非常簡單，但進入爬蟲之後便開始感到困難，然而老師會清楚地講解每條程式，也會針對比較困難的語法做淺顯易懂地說明，甚至提供許多現成的程式碼給我們使用，因此學習上也不會遇到太大的困難，接著進入到選股策略實作的部分時，老師也同樣很詳細地講解每個功能有什麼作用，而且學到這部分的人應該大多都具備可以自己修改程式碼，並做出自己專屬的選股策略。
        雖然說這堂課有許多優點，但也有些許缺點，例如大部分的程式碼都有解說，但仍有少部分的程式碼只是教我們如何使用，卻沒有講解這其中是如何撰寫，我認為是比較可惜的地方，不過這可能跟我的功力不足有關，所以即便有註解也沒辦法全部都看得懂。
        總結以上的論點，我認為這堂課非常適合有程式和金融基礎的人來學習，透過這堂的學習可以使得自身實力增加不少，也直接做出一個可以直接使用的選股策略，而完全沒有基礎的人也不需要太過擔心，所有課堂上的金融觀念老師都會仔細說明，而程式撰寫則是將前面的單元學會後，自己必須多花時間練習，才能熟悉程式的寫法與邏輯，因此我認為這堂課非常物超所值而且學習門檻低，非常推薦對金融領域有興趣的人來學習。"
30,Python 資料分析＆機器學習入門,https://hahow.in/courses/597df7e2acc137070007013c,5 Stars,2019.12.04,Python資料分析&機器學習課程上課心得,"1.老師教的蠻好的！──內容充實，大部分講解清晰，學費不只「值回票價」──應該是物超所值！
2.「Python 資料分析＆機器學習入門」我學了一年左右，程式方面自學3 年了，學的有些慢！希望成為程式設計師！年近50，希望越來越...!
3. 老師介紹的書，如：python + Spark 2.0 + Hadoop ...，，我買了幾本，對我而言 ，不太理想，我光安裝 multi node 就花了一個月，而且還沒裝好，NodeManager 未啟動！
4. 老師在百忙中回答了我幾個問題，謝謝您！
5.可以上coursera 或 udemy 的課程，多比較判斷，找出適合自己的學習目標和方式（本人由C#改學Python，多花了約一年的時間！）
6.「獨學而無友，孤漏而寡聞。」

光鍵 敬上"
31,Python 資料分析＆機器學習入門,https://hahow.in/courses/597df7e2acc137070007013c,5 Stars,2019.09.30,淺顯易懂的課程內容，讓閱者逐步掌握Python,"隨著資料分析趨勢盛行，即便工作或生活領域不會接觸到程式語言，能了解基本的資料分析方式仍增加每個人在職場的競爭力，和公司內部相關部門同事溝通時，也較容易達到溝通目的與效果。

老師的講解清晰易懂，不過影片的方式難免於同步實作時發生一些困難（除非有兩個螢幕XD）。我的工作經常需要與Data Scientists溝通，雖然不用了解如何寫任何程式，在上課過程中經常有「哇～原來當初他說的是這個意思」或「原來當初他的圖表是這麼做出來的」的想法。

一步一步跟著James的腳步看Python，讓我有信心在多加嘗試後，領悟Python的要領，相信未來和Data Scientists溝通時能更有效率，並創造更大的附加價值。"
32,Python 資料分析＆機器學習入門,https://hahow.in/courses/597df7e2acc137070007013c,5 Stars,2018.11.28,實用性不錯,"我上過吳恩達開設的deep learning才來的，這門課在實戰方面有不錯的介紹，讓我補充了一些實戰工具例如pandas,sns等工具的使用方法，雖然關於理論的部分都沒有太詳細，但是課程時數也不多，可以比較快的入門Kaggle或者實際面的一些分析
作為機器學習第一堂課的話建議去上林軒田或吳恩達的，回頭再來這邊接觸一些實務應用的部分"
33,漫遊程海 | Python 入門到製作遊戲演算法,https://hahow.in/courses/591c480a00f58c0700788178,5 Stars,2017.08.09,講解內容很清楚簡潔，社團競賽很有趣,"自從大學畢業後還是第一次上程式設計的課程，相比大學的原文書教學（當然不是說教得不好）Louis老師的投影片和講解是完全面向初學者的，不但很口語，還隨講解內容附上許多範例程式碼，很容易讓學員明白該如何慢慢編寫出簡單的程式。
臉書社團的排名挑戰賽也很有趣，不時會出現緊急任務挑戰上課的成果，還能與其他學員一起討論，教學相長的感覺非常棒！"
34,漫遊程海 | Python 入門到製作遊戲演算法,https://hahow.in/courses/591c480a00f58c0700788178,5 Stars,2017.08.09,很適合大眾學習,"我看過的教學影片都是很硬式教法，
幾乎可以說和你自己買的書的大綱走向差不多。但是，
Louis老師所教的方法不同，
會將基本程式的概念講給你聽，
再從基本的數字符號開始教起。
其他教學影片的開頭都是直接打上一段程式碼，
講解字串和變數還會突然在下個程式碼中直接教你迴圈...
Louis老師的教法很推呀(๑•̀ㅂ•́)و✧"
35,漫遊程海 | Python 入門到製作遊戲演算法,https://hahow.in/courses/591c480a00f58c0700788178,5 Stars,2017.08.09,很用心、親切的課程,"從老師的課程內容和GM的社團管理，看得出老師和GM滿滿的用心。把學習課程當作是在玩遊戲打積分，增加了學習的動力和趣味性。
而且老師和GM都很親切，0距離的互動讓學習起來很輕鬆、很快樂。
這是我第一次在hahow上購買的課程，覺得非常滿意，若有機會也會推廣給親朋好友。"
36,Python 網頁爬蟲入門實戰,https://hahow.in/courses/58744feda8aae907000d06c0,5 Stars,2017.05.25,很開心的一門課,"我本身是軟體工程師, 我覺得我是喜歡寫程式的, 但是工作上的寫程式, 某些程度上已經失去樂趣了, 而是變成一種帶有壓力與無奈在其中的coding. 所以在下班後, 我還是會每天花1~2小時不等的時間在寫自己喜歡的東西或是閱讀相關書籍. 這門課是我第一次接觸到python, 我覺得這堂課的內容讓我每天下班都很期待可以上來hahow上課. 原因如下: 第一, 老師準備的教材真的很豐富; 二來, 可以幫助初入爬蟲這塊領域的初學者很快建立起必須的觀念、知識. 希望將來還有希望聽到老師開別的python相關課程, 像是資料處理方面的.

若你是個python初學者或著是想學爬蟲而不得其門而入的人, 不用猶豫了, 直接買這堂課吧, CP值真的破表."
37,Python 網頁爬蟲入門實戰,https://hahow.in/courses/58744feda8aae907000d06c0,5 Stars,2019.08.29,可以學到很多東西的課程,對網頁及爬蟲的基本觀念解釋得很清楚，除了爬蟲的工具外，有些地方也會針對 Python 的語法去做說明。針對同一個題目，會示範使用不同的寫法來完成，除此之外也介紹了一些比較進階的工具如 selenium，以及講師自己的爬蟲經驗談，是一門讓人很有收穫的課程。
38,Python 網頁爬蟲入門實戰,https://hahow.in/courses/58744feda8aae907000d06c0,5 Stars,2017.09.29,很棒的課，收穫滿滿,沒有程式基礎就來修這門課了，Python 並不難學，難的是初學不知道可以做什麼事，這們課很棒的地方在於學的東西不難又有用，非常有成就感，很適合初學程式的人來學，老師口條清楚，並且有問題會很快回應，真的謝謝老師了！
